コード,銘柄名,price,volume,marketCapacity,pbr,per
1301,極洋,4950,21900,58792828928,0.83508986,8.591065
1333,マルハニチロ,1307,436100,197588942848,0.852257,9.016903
1375,ユキグニファクトリー,1055,33700,42067103744,3.500239,50.0
1377,サカタのタネ,4335,111000,187530870784,1.14274,19.492783
1379,ホクト,2025,69100,63380602880,1.0855447,11.507644
1414,ショーボンドホールディングス,1369,922400,279122051072,2.7073956,18.761135
1417,ミライト・ワン,3616,220800,320595722240,1.2358507,16.025528
1419,タマホーム,3450,534500,100009320448,3.8909583,67.567566
1429,日本アクア,881,43300,28385140736,2.6386645,13.869647
1433,ベステラ,1286,90000,11714304000,2.1528742,22.728878
1515,日鉄鉱業,2624,867800,206462091264,1.3978757,21.052631
1518,三井松島ホールディングス,1442,203500,55409655808,1.058194,7.102399
1662,石油資源開発,1755,4129100,449206288384,0.83044887,5.173329
1663,Ｋ＆Ｏエナジーグループ,3830,135900,102217080832,0.9944903,12.870056
167A,リョーサン菱洋ホールディングス,3080,122300,123512594432,0.93129885,16.722773
1719,安藤・間,1979,627500,310239494144,1.6925089,11.723239
1720,東急建設,1339,168600,141865779200,1.3780115,21.365885
1726,ビーアールホールディングス,356,75500,16117055488,1.0628483,14.104596
1762,高松コンストラクショングループ,4115,27800,143277998080,1.0217576,13.755181
1766,東建コーポレーション,14890,7600,200175845376,1.4585398,11.890597
1780,ヤマウラ,1510,22500,28580114432,1.1555457,8.130081
1786,オリエンタル白石,417,144200,53639819264,1.024326,15.037866
1813,不動テトラ,2743,80100,41478516736,1.1955836,13.7548895
1814,大末建設,3940,75100,40933457920,1.7081944,13.850318
1815,鉄建建設,4850,112300,67561820160,0.89187247,19.960491
1820,西松建設,5869,87100,231737933824,1.3120189,12.870049
1833,奥村組,6440,171700,231007846400,1.2457887,17.88889
1835,東鉄工業,4710,51800,162221031424,1.3149893,12.658228
1852,淺沼組,1074,211200,86700752896,1.8419522,14.642127
1860,戸田建設,1327,602500,400048357376,1.1104233,12.953747
1861,熊谷組,1630,1954300,280082219008,1.5164667,20.32419
1870,矢作建設工業,2391,93800,102902472704,1.4080609,9.881391
1871,ピーエス・コンストラクション,2968,147100,138961321984,2.307101,15.69872
1873,日本ハウスホールディングス,322,58900,12879417344,0.5908257,58.122746
1878,大東建託,3035,1476200,1005670105088,2.0812461,10.638297
1879,新日本建設,2064,56200,120722620416,0.95921206,8.841672
1882,東亜道路工業,1756,272100,81147453440,1.5662503,20.324074
1885,東亜建設工業,3060,801700,236547162112,2.23731,15.197417
1887,日本国土開発,553,205700,44047917056,0.6574575,33.333332
1888,若築建設,4765,13700,60629491712,1.262562,13.793203
1893,五洋建設,1634,2406300,446938972160,2.4704027,23.095945
1898,世紀東急工業,1677,122500,61432479744,1.4769202,13.754922
1899,福田組,7970,44200,65990324224,0.7511811,12.210069
1911,住友林業,1579,5942700,965630230528,1.0575497,8.741142
1926,ライト工業,3430,72200,146849185792,1.7188148,13.7739935
1929,日特建設,1337,73300,55846232064,1.605653,16.639702
1930,北陸電気工事,1524,39400,41913876480,0.9611291,13.532232
1934,ユアテック,2856,107300,196171333632,1.3283813,16.181303
1938,日本リーテック,2375,24700,58853801984,0.92460376,11.737089
1939,四電工,1598,71700,75641266176,1.1347836,14.858205
1941,中電工,4550,73300,246446620672,1.055464,11.6412945
